year,fire_id,date,date_l,date_u,obs,datesrc,fire_id,date_l2,date_u2,obs2,diff_l,diff_u,use_thomas,
2015,2015_41,2015-01-31,2015-01-31,2015-01-31,2015_40-41-42 could be the same event,modis,2015_41,2015-01-30,2015-01-31,2015_40-41-42 could be the same event https://www.pagina12.com.ar/diario/sociedad/3-269280-2015-03-30.html,1,0,1,
2015,2015_42,2015-03-29,2015-03-29,2015-03-30,2015_40-41-42 could be the same event,modis,2015_42,2015-03-25,2015-03-30,2015_40-41-42 could be the same event https://www.pagina12.com.ar/diario/sociedad/3-269280-2015-03-30.html,4,0,1,
2015,2015_46,2015-01-31,2015-01-31,2015-01-31,NA,modis,2015_46,2015-01-29,2015-02-11,file:///G:/My%20Drive/a_ivan/fechas%20fuegos/informe_sup_incendios_2014_2015.pdf https://www.elchubut.com.ar/regionales/2015-2-11-se-encuentra-controlado-el-incendio-en-el-turbio-que-destruyo-650-hectareas,2,-11,1,
2015,2015_47,2015-02-24,2015-02-18,2015-03-02,NA,modis_hotspot,2015_47,2015-02-16,2015-03-22,file:///G:/My%20Drive/a_ivan/fechas%20fuegos/informe_sup_incendios_2014_2015.pdf,2,-20,1,
2015,2015_50,2015-02-24,2015-02-18,2015-03-02,NA,modis_hotspot,2015_50,2015-02-15,2015-04-06,https://es.wikipedia.org/wiki/Incendios_forestales_en_Chubut_de_2015,3,-35,0,
2015,2015_53,2015-03-24,2015-03-24,2015-03-25,NA,modis_hotspot,2015_53,2015-03-23,2015-04-19,cribd.com/document/356641160/Informe-incendio-forestal-Parque-Nacional-Los-Alerces-2015-Parques-Nacionales#,1,-25,1,
2016,2016_26,2016-02-11,2016-02-11,2016-02-12,NA,modis_hotspot,2016_26,2016-02-11,2016-02-15,https://www.eldia.com/nota/2016-2-11-otro-incendio-en-chubut-esta-vez-en-el-parque-el-turbio,0,-3,1,
2016,2016_55,2016-02-21,2016-02-21,2016-02-21,NA,modis_hotspot,2016_55,2016-02-20,2016-02-23,https://www.elchubut.com.ar/regionales/2016-2-21-incendio-en-los-cipreses https://www.elchubut.com.ar/esquel/2016-2-23-fue-contenido-incendio-en-los-cipreses,1,-2,1,
2019,2019_36,2019-01-28,2019-01-28,2019-01-28,NA,modis_hotspot,2019_36,2019-01-27,2019-01-29,https://www.elchubut.com.ar/regionales/2019-1-22-16-7-0-bosques-trabaja-para-controlar-incendio-en-aldea-escolar,1,-1,1,
2020,2020_1,2019-10-18,2019-10-18,2019-10-18,NA,modis_hotspot,2020_1,2019-10-18,2019-10-18,https://www.noticiasnqn.com.ar/noticias/2019/10/18/194380-incendio-forestal-en-pulmar,0,0,1,
2020,2020_2118791555,2020-03-04,2020-03-04,2020-03-04,NA,modis_hotspot,2020_2118791555,2020-03-04,2020-03-05,https://www.lmneuquen.com/contuvieron-los-dos-incendios-forestales-alumine-n688337,0,-1,1,
2020,2020_2132493642,2020-03-03,2020-03-03,2020-03-04,NA,modis_hotspot,2020_2132493642,2020-03-03,2020-03-05,https://www.elpatagonico.com/lograron-controlar-el-incendio-forestal-esquel-n5086814,0,-1,1,
2021,2021_1229,2021-03-01,2021-02-26,2021-03-05,NA,modis_hotspot,2021_1229,2021-02-25,2021-03-09,https://radiochubut.com/incendio-al-sur-de-corcovado-consumio-2500-hectareas-de-bosque/ https://www.elchubut.com.ar/regionales/2021-2-27-11-32-0-brigadistas-combaten-incendio-en-poncho-moro,1,-4,1,
2021,2021_1233,2021-03-01,2021-02-26,2021-03-05,NA,modis_hotspot,2021_1233,2021-02-25,2021-03-09,https://radiochubut.com/incendio-al-sur-de-corcovado-consumio-2500-hectareas-de-bosque/ https://www.elchubut.com.ar/regionales/2021-2-27-11-32-0-brigadistas-combaten-incendio-en-poncho-moro,1,-4,1,
2021,2021_2146405150_E,2021-03-09,2021-03-07,2021-03-10,NA,modis_hotspot,2021_2146405150_E,2021-01-24,2021-03-07,https://www.infobae.com/sociedad/2021/01/26/el-incendio-que-arraso-casi-10-mil-hectareas-en-el-bolson-se-habria-originado-por-un-grupo-de-personas-que-hizo-un-asado/ https://www.rionegro.com.ar/a-43-dias-del-inicio-del-incendio-en-cuesta-del-ternero-aseguran-que-esta-controlado-1717624/,42,3,0,
2021,2021_865,2021-03-09,2021-03-09,2021-03-10,NA,modis_hotspot,2021_865,2021-03-07,2021-03-23,https://es.wikipedia.org/wiki/Incendios_en_la_Patagonia_argentina_de_2021,2,-13,1,
2022,2022_2125136700_r,2022-01-04,2021-12-27,2022-01-13,NA,modis,2022_2125136700_r,2021-12-07,2022-04-12,"informe apn, macroscopia",20,-89,0,
