year,fire_id,area_ha,date,date_l,date_u,datesrc,name,obs,collec
2010,2010_-1740725272_r,32.4467358614092,2009-10-03,2009-09-17,2009-10-20,landsat,2010_-1740725272_r,NA,2
2010,2010_2103415071,275.45109189802,2010-03-08,2010-03-04,2010-03-13,landsat,2010_2103415071,NA,3
2011,2011_-1870957679,35.6251228613853,2010-10-19,2010-09-29,2010-11-08,landsat,2011_-1870957679,NA,2
2011,2011_2084438518,79.0631953185336,2010-10-28,2010-10-14,2010-11-11,landsat,2011_2084438518,NA,3
2011,2011_1832849531,48.217089962038,2010-11-16,2010-11-08,2010-11-24,landsat,2011_1832849531,NA,2
2011,2011_19,236.467645074151,2011-02-27,2011-02-19,2011-03-07,landsat,2011_19,2011_19_18 could be the same event,1
2011,2011_18,684.271681842411,2011-03-01,2011-03-01,2011-03-01,modis,Patriada 2011,2011_19_18 could be the same event,1
2012,2012_23,12.6062303587014,2011-09-06,2011-05-17,2011-12-27,landsat,2012_23,NA,1
2012,2012_87,58.90601714245,2011-10-30,2011-10-26,2011-11-03,landsat,2012_87,NA,1
2012,2012_1655398457,10.37447163808,2011-12-17,2011-12-17,2011-12-17,modis,2012_1655398457,NA,2
2012,2012_71,118.63893900674,2011-12-21,2011-12-13,2011-12-29,landsat,2012_71,NA,1
2012,2012_79N,31.8279071525451,2011-12-21,2011-12-13,2011-12-29,landsat,2012_79N,NA,1
2012,2012_74,26.7872551062796,2012-01-02,2011-12-29,2012-01-05,landsat,2012_74,NA,1
2012,2012_57,2595.81676686779,2012-01-06,2012-01-04,2012-01-07,modis,2012_57,2012_57_58 could be the same event,1
2012,2012_58,1210.73030321831,2012-01-06,2012-01-04,2012-01-07,modis,2012_58,2012_57_58 could be the same event,1
2012,2012_75,51.3916081244178,2012-01-06,2011-12-29,2012-01-14,landsat,2012_75,NA,1
2012,2012_2,51.1687806138831,2012-01-13,2012-01-05,2012-01-21,landsat,2012_2,NA,1
2013,2013_32,12.5124999304802,2013-01-28,2013-01-16,2013-02-08,landsat,2013_32,NA,1
2013,2013_12,10.5633381266343,2013-01-31,2013-01-23,2013-02-08,landsat,2013_12,NA,1
2013,2013_30,70.3540671273264,2013-02-01,2013-01-16,2013-02-17,landsat,2013_30,NA,1
2013,2013_2066049993,25.7538827295084,2013-02-24,2013-01-23,2013-03-28,landsat,2013_2066049993,NA,2
2013,2013_1905274364_r,20.5250210017438,2013-03-16,2013-02-08,2013-04-21,landsat,2013_1905274364_r,NA,2
2014,2014_79,28.4693788978127,2013-08-03,2013-06-08,2013-09-28,landsat,2014_79,NA,1
2014,2014_-1075171770,805.851410893354,2013-08-29,2014-02-20,2013-03-07,landsat,2014_-1075171770,NA,2
