class,aspect,elevation,slope
marginal,109.87114,1368,42.140728
marginal,250.3085,777,2.7504468
marginal,90,1074,2.5244727
marginal,0,503,0
marginal,63.38663,1325,18.01578
marginal,335.434,614,3.056498
marginal,107.95555,1631,50.375313
marginal,6.033962,1521,11.948287
marginal,261.88242,655,24.634348
marginal,31.506886,1149,17.88887
marginal,143.14763,515,22.02833
marginal,276.45737,1871,35.74212
marginal,163.58717,1937,34.679077
marginal,220.66824,1343,27.121826
marginal,280.9324,1148,9.687662
marginal,34.047413,221,2.2376244
marginal,277.99023,1009,46.3453
marginal,8.190235,568,17.261953
marginal,330.07767,1753,31.647816
marginal,98.28805,1009,18.618402
marginal,259.69464,1134,5.1705017
marginal,259.7373,1358,19.973194
marginal,90,1016,2.4347155
marginal,213.60942,1159,31.881031
marginal,310.7056,1230,17.8837
marginal,263.3322,1158,15.580056
marginal,76.6565,1338,15.672239
marginal,90,1551,21.820108
marginal,317.6317,896,3.7606504
marginal,0,769,0
marginal,29.829245,1452,16.623524
marginal,307.7028,1102,21.6551
marginal,9.213367,418,48.11627
marginal,236.63155,851,16.399782
marginal,42.208122,1395,7.470374
marginal,212.27939,987,41.98409
marginal,297.7205,1203,27.564913
marginal,137.91719,1531,55.616222
marginal,253.1742,1758,24.103157
marginal,32.68188,1225,33.946186
marginal,94.40889,1485,32.28176
marginal,277.81485,1147,25.464182
marginal,22.769796,895,12.856267
marginal,100.41496,1583,35.616604
marginal,281.80243,1481,35.46186
marginal,353.19662,1560,10.166687
marginal,22.002386,1323,34.25155
marginal,90,1837,23.18943
marginal,48.9923,980,11.164612
marginal,164.20618,1252,21.15276
marginal,211.45998,1600,29.653742
marginal,191.44656,738,18.279707
marginal,283.42267,1779,19.222393
marginal,160.62837,1018,14.43395
marginal,69.855804,652,8.026641
marginal,126.51838,208,1.5582128
marginal,308.32043,1525,35.179417
marginal,241.24883,822,5.76515
marginal,76.33617,794,7.8039904
marginal,112.33713,1399,12.022432
marginal,232.6809,1517,28.10339
marginal,77.04458,1745,30.012333
marginal,0,900,0.92740995
marginal,155.21078,1153,14.016324
marginal,198.76424,1343,3.912125
marginal,241.44666,1106,40.253986
marginal,36.406864,1342,8.014237
marginal,180,1795,16.24506
marginal,305.67673,1412,25.260584
marginal,351.74365,597,17.26466
marginal,332.36554,781,8.316445
marginal,113.72382,1288,19.906176
marginal,353.58206,1515,21.353344
marginal,192.29335,1110,5.6768928
marginal,124.39758,1042,28.565325
marginal,340.75336,1886,36.400684
marginal,13.466225,1534,43.494663
marginal,63.82368,537,4.197496
marginal,103.63389,1151,22.393995
marginal,0,1224,0.92740995
marginal,112.6332,1463,59.893692
marginal,226.49417,1252,19.428328
marginal,199.26358,811,3.923855
marginal,231.0696,827,32.782833
marginal,280.36688,590,5.1403
marginal,77.73851,1334,8.667787
marginal,276.8812,1107,22.06428
marginal,22.289213,1029,15.637975
marginal,34.23083,1053,2.2424817
marginal,345.27594,1484,19.365839
marginal,295.88586,951,4.2411294
marginal,219.60303,1162,20.71561
marginal,136.46133,1616,22.990742
marginal,337.27664,849,21.111563
marginal,85.571396,1402,11.840055
marginal,171.39212,1125,8.382199
marginal,96.330925,1931,8.351381
marginal,238.18576,1487,30.260784
marginal,317.38135,1610,3.775692
marginal,0,769,0
marginal,56.490868,1251,9.978036
marginal,130.08504,1598,18.097929
marginal,122.04126,1430,27.416302
marginal,240.22182,1576,11.065451
marginal,55.992443,1314,22.057749
marginal,33.115097,1259,13.05739
marginal,196.99216,1640,16.944971
marginal,342.12808,1517,3.8920677
marginal,130.60303,1218,9.876856
marginal,326.75064,1833,32.569122
marginal,295.43845,1247,27.816431
marginal,259.5965,1582,19.726532
marginal,270,1010,11.340517
marginal,52.607018,996,3.0516925
marginal,266.07324,1084,25.30312
marginal,147.76201,454,16.017271
marginal,76.205986,872,3.8839998
marginal,350.36722,1099,7.483199
marginal,47.13772,839,23.18785
marginal,214.536,1101,2.2506611
marginal,344.18854,1688,48.42282
marginal,137.6507,640,7.48694
marginal,215.87247,453,29.22064
marginal,320.38074,883,9.543287
marginal,74.875854,1897,26.397291
marginal,240.4633,1578,19.8598
marginal,233.50177,913,19.483908
marginal,171.31572,1335,23.852081
marginal,56.798134,1294,14.898767
marginal,110.107376,1609,35.234043
marginal,205.55284,1267,40.73681
marginal,0,769,0
marginal,278.11862,988,18.976923
marginal,238.9203,1752,36.964542
marginal,270,554,2.5128415
marginal,246.57755,909,6.9652815
marginal,71.66211,1493,29.50854
marginal,173.33757,1551,28.991987
marginal,206.0757,1960,11.213153
marginal,241.40247,1112,47.261234
marginal,307.68457,996,14.831671
marginal,49.14688,963,42.478806
marginal,284.04507,1580,36.268646
marginal,293.5124,850,6.9403915
marginal,341.30527,1162,41.625877
marginal,67.07237,1649,43.703022
marginal,159.70493,1384,6.8887863
marginal,227.03792,1200,33.626858
marginal,66.708275,1414,39.30987
marginal,0,769,0
marginal,262.62012,859,26.752981
marginal,68.487495,1239,19.450748
marginal,0,894,0
marginal,0,769,0
marginal,252.13821,1978,17.570929
marginal,87.85455,1289,68.92142
marginal,0,769,0
marginal,82.034546,998,13.150155
marginal,0,805,0
marginal,224.62111,1006,5.198019
marginal,315.82123,1334,5.1590796
marginal,254.4828,1095,13.605936
marginal,55.092068,1200,29.498985
marginal,145.4441,972,2.2511988
marginal,3.7448382,1070,32.979393
marginal,180,1058,25.14749
marginal,38.49386,1409,25.44045
marginal,147.08368,1251,6.5998116
marginal,39.19965,671,5.962593
marginal,312.94836,1490,23.154346
marginal,27.239595,706,16.241402
marginal,76.652016,1306,15.667325
marginal,298.07953,846,9.756898
marginal,79.284874,950,14.638436
marginal,203.40819,1939,14.820443
marginal,236.15485,938,38.123238
marginal,116.54094,1220,23.496002
marginal,80.0543,1080,29.351337
marginal,103.62284,1335,3.9317126
marginal,24.825502,1788,16.867916
marginal,162.02695,1161,15.231887
marginal,189.58815,1854,27.715078
marginal,138.10863,1441,11.073471
marginal,160.40302,1258,33.14284
marginal,100.80682,1648,14.520891
marginal,104.19824,1318,24.79619
marginal,0,894,0
marginal,79.32384,921,4.9938054
marginal,318.37704,1046,3.7169883
marginal,287.31937,1274,20.838621
marginal,127.02297,825,9.163093
marginal,241.70024,1601,35.642487
marginal,67.05397,913,31.915636
marginal,305.70944,1237,4.7562065
marginal,113.10712,591,31.745808
marginal,228.42073,1305,20.096426
marginal,90,869,7.6953955
marginal,85.90022,1808,24.36319
marginal,18.035116,1292,7.7556114
marginal,100.31581,875,5.165341
marginal,16.801325,1112,8.653238
marginal,339.57895,1663,10.758335
marginal,0,769,0
marginal,195.31142,466,4.7968807
marginal,137.97995,1391,22.48973
marginal,198.9448,1432,21.486662
marginal,161.66124,898,3.9024181
marginal,156.97421,921,18.479277
marginal,185.2522,928,13.703603
marginal,126.671776,1709,30.807812
marginal,0,702,0
marginal,230.33017,1734,62.576107
marginal,180,533,1.8543341
marginal,214.91066,509,2.2608736
marginal,0,1295,10.992985
marginal,118.61244,1404,20.396915
marginal,106.501144,999,34.368507
marginal,3.3983061,671,20.454237
marginal,80.7937,737,11.439901
marginal,90,1203,8.955473
marginal,180,1255,1.8543341
marginal,270,1266,18.578152
marginal,141.70822,1855,36.59376
marginal,162.13765,2100,3.8918588
marginal,145.29735,766,2.2551806
marginal,0,807,0
marginal,93.04267,464,16.960201
marginal,23.332584,1199,3.027465
marginal,270,537,1.2612908
marginal,0,769,0
marginal,95.41185,1612,18.945963
marginal,0,925,0
marginal,284.11084,858,11.265551
marginal,0,507,0
marginal,272.8397,1754,33.164577
marginal,85.80904,719,12.489623
marginal,208.58011,1040,5.2660637
marginal,63.785275,1845,14.387315
marginal,92.99292,994,17.225336
marginal,295.6357,980,4.279534
marginal,70.90415,1761,30.700792
marginal,85.19939,1415,10.947452
marginal,301.07294,1087,38.09984
marginal,97.27736,1592,20.975647
marginal,46.10683,940,6.658664
marginal,139.91432,1273,28.81578
marginal,104.35884,1689,38.07153
marginal,124.99438,1714,26.934052
marginal,3.0031238,1115,22.853518
marginal,13.638998,1622,33.009464
marginal,0,900,0
marginal,313.393,1743,6.719335
marginal,139.4529,966,13.188505
marginal,152.36806,1166,24.550627
marginal,15.754729,1560,28.290398
marginal,337.55243,1244,36.339134
marginal,18.773273,873,18.87798
marginal,192.72054,1603,20.891205
marginal,343.1961,1736,20.40601
marginal,350.0451,1410,26.245901
marginal,64.9342,1902,16.997112
marginal,158.40042,847,28.356647
marginal,70.345955,1450,32.033367
marginal,104.12341,1164,7.5578904
marginal,4.6516504,958,14.566716
marginal,333.59448,1777,25.16921
marginal,221.5731,2186,30.29485
marginal,191.33972,1372,50.69963
marginal,141.60132,1004,22.445879
marginal,180,896,17.096203
marginal,109.26892,1157,30.48285
marginal,90,1397,9.496252
marginal,315.568,1306,5.181262
marginal,0,951,2.7802885
marginal,295.60693,874,33.987297
marginal,299.85852,670,7.4102287
marginal,53.22673,912,1.5489268
marginal,202.95575,1041,31.60398
marginal,259.5936,566,5.121094
marginal,21.093962,1629,16.433779
marginal,54.0469,745,3.1562479
marginal,155.53465,881,9.093716
marginal,306.00363,1127,3.152423
marginal,234.27301,1029,1.58797
marginal,194.5903,1687,43.63492
marginal,126.025734,771,4.720194
marginal,180,989,1.8543341
marginal,76.353226,685,3.9249694
marginal,346.88016,905,16.656631
marginal,317.46445,1750,36.7573
marginal,293.123,1216,31.729177
marginal,97.2632,1088,7.2964473
marginal,354.9035,606,13.700358
marginal,46.10357,859,5.335253
marginal,288.58682,1233,31.359753
marginal,276.48532,1293,29.824728
marginal,7.4335656,1186,26.093266
marginal,82.828476,1098,14.538582
marginal,110.72085,802,2.6195724
marginal,160.8601,875,27.976538
marginal,232.33078,1406,6.048374
marginal,180,1321,1.8543341
marginal,356.9722,1293,22.853983
marginal,305.64294,497,4.7638636
marginal,145.9479,263,4.46869
marginal,301.4853,1525,21.94588
marginal,59.634453,969,28.562975
marginal,81.089294,1520,36.187572
marginal,122.91009,1189,19.673424
marginal,145.14203,645,2.259426
marginal,0,1502,21.231472
marginal,0,539,0
marginal,25.040953,1498,33.468132
marginal,205.63327,591,22.438755
marginal,252.71677,547,15.2394705
marginal,0,769,0
marginal,169.89719,1645,31.998108
marginal,126.2317,915,1.5688283
marginal,180,1167,1.8543341
marginal,122.06063,1333,37.321888
marginal,90,545,1.266133
marginal,187.0187,1373,19.738995
marginal,42.263073,1788,3.7543871
marginal,314.4693,895,29.012392
marginal,177.00476,1049,22.060148
marginal,311.10538,786,26.217672
marginal,90,1572,9.507213
marginal,225.95529,1400,40.74565
marginal,287.60495,1077,25.71991
marginal,206.77353,1614,13.263128
marginal,259.25513,862,4.9624057
marginal,298.56808,1675,34.099
marginal,338.68884,1451,23.48004
marginal,63.0194,956,28.15592
marginal,83.568825,774,16.12154
marginal,297.0998,1712,17.735157
marginal,54.281654,1115,1.5883032
marginal,153.47206,1958,20.80404
marginal,8.308109,1076,17.266796
marginal,168.15167,1253,23.269848
marginal,149.22694,1611,20.646912
marginal,95.55528,1349,33.77752
marginal,290.92822,1128,7.742253
marginal,158.74942,1412,9.853276
marginal,159.98479,669,14.4896555
marginal,224.90033,1379,36.178146
marginal,296.97913,1077,46.94919
marginal,63.3556,1287,19.848066
marginal,33.555744,800,2.224819
marginal,51.252296,1741,23.734118
marginal,270,932,27.775393
marginal,270,470,6.382087
marginal,4.3031654,1498,16.288553
marginal,217.81007,1206,38.62819
marginal,217.8174,1268,22.285444
marginal,38.510624,1825,49.199642
marginal,53.81746,620,4.702594
marginal,196.78925,1502,12.397074
marginal,53.989117,927,9.380456
marginal,290.63586,773,2.6298742
marginal,9.048591,1406,47.251644
marginal,253.62302,1356,27.325912
marginal,200.27069,1563,6.8877134
marginal,160.12897,911,24.109842
marginal,236.95222,1248,40.722977
marginal,202.0592,1511,29.201872
marginal,1.9865952,1498,32.280712
marginal,164.12305,1664,31.910635
marginal,28.580887,1506,30.535984
marginal,0,769,0
marginal,81.72521,1213,29.352741
marginal,320.22412,1048,31.417297
marginal,90,826,12.0588
marginal,101.81858,844,8.982606
marginal,110.23803,570,5.3468685
marginal,75.96917,863,3.8199186
marginal,22.415886,1409,27.714142
marginal,6.4469395,550,11.061224
marginal,321.4186,540,8.247842
marginal,84.001396,1088,37.7579
marginal,135.51903,706,9.024265
marginal,41.16046,1575,27.295294
marginal,75.200424,1675,32.363438
marginal,336.59952,1022,3.0290122
marginal,46.894863,1483,19.56207
marginal,70.910515,1005,16.540518
marginal,313.0307,667,33.592934
marginal,207.11264,711,16.223907
marginal,297.8502,1219,27.464062
marginal,14.327058,1740,28.130583
marginal,193.00244,1501,5.692578
marginal,71.193,1666,40.48483
marginal,113.08842,1614,18.275045
marginal,152.43552,1360,24.537304
marginal,58.59428,1648,26.429157
marginal,151.35953,1395,19.312843
marginal,44.048077,589,12.692329
marginal,90,1243,12.683322
marginal,137.95341,807,7.451564
marginal,203.4828,1436,33.84902
marginal,42.27217,1584,11.138466
marginal,335.62192,726,17.739569
marginal,5.3412805,772,12.823029
marginal,92.187355,1463,22.98313
marginal,254.21927,1012,35.53746
marginal,187.60396,2075,26.10215
marginal,305.90353,1279,1.5812082
marginal,107.916405,1293,22.82956
marginal,149.91093,1518,25.06648
marginal,154.40044,812,11.169256
marginal,263.20062,1215,22.3028
marginal,242.22511,1285,32.01693
marginal,325.55554,1739,18.453737
marginal,261.24396,764,23.042847
marginal,289.10867,1108,38.35067
marginal,123.22672,1313,11.6838255
marginal,291.22083,2026,5.111173
marginal,285.49347,1669,19.98101
marginal,26.135912,1164,16.093027
marginal,314.88058,648,18.988972
marginal,161.01045,601,7.7984595
marginal,253.54308,646,6.5196104
marginal,195.41779,1327,9.532216
marginal,146.83339,1337,22.102287
marginal,39.76604,1336,29.62302
marginal,90,793,1.2225251
marginal,109.106964,1694,26.314037
marginal,0,805,0
marginal,60.184124,1345,21.339746
marginal,0,916,0.92740995
marginal,99.62169,1866,10.962479
marginal,144.15392,1039,10.18913
marginal,0,769,0
marginal,35.801876,1918,26.518234
marginal,205.9007,1267,8.192181
marginal,114.25093,1519,35.35239
marginal,192.58272,669,5.683179
marginal,33.75835,827,28.598394
marginal,166.27063,1438,15.816698
marginal,341.90643,1634,3.8969429
marginal,90,586,1.2574492
marginal,3.723698,1893,18.812046
marginal,350.20605,1263,27.72955
marginal,152.61523,1064,28.67524
marginal,105.86157,1440,10.07534
marginal,115.39477,1916,10.687914
marginal,90,539,5.044989
marginal,155.36389,1159,25.680054
marginal,186.81564,1596,42.900387
marginal,11.295836,1666,45.198696
marginal,340.49365,1245,35.80234
marginal,126.63558,319,1.5539253
marginal,352.65308,1294,9.269946
