class,aspect,elevation,slope
burned,0,372,6.464861
burned,28.167372,860,13.42588
burned,107.1798,417,28.72487
burned,158.8447,842,6.9276524
burned,243.70079,444,16.29317
burned,59.295284,1006,7.227121
burned,120.76919,802,7.213602
burned,82.98889,626,14.855026
burned,87.617355,780,21.275059
burned,31.356258,944,18.840405
burned,180,699,7.3788605
burned,317.0399,617,11.259054
burned,47.31255,1133,35.613056
burned,217.62901,811,38.55991
burned,96.68268,1018,29.092533
burned,343.08206,1397,44.46104
burned,83.464516,1229,15.878339
burned,296.5205,986,4.1470695
burned,126.21804,874,4.6986327
burned,18.585693,1293,31.5842
burned,42.084538,1187,11.106287
burned,246.41603,641,15.813202
burned,280.04553,1109,29.10996
burned,17.86268,1072,3.891866
burned,90,702,1.2457442
burned,325.68176,1083,18.427816
burned,107.90516,1055,47.874023
burned,292.87292,1324,33.67769
burned,0,799,0.92740995
burned,163.24948,879,16.924551
burned,225.3239,326,10.436222
burned,101.27847,545,13.944914
burned,87.47832,814,20.199856
burned,106.93406,708,21.257744
burned,246.34306,788,21.970337
burned,113.66142,805,27.670609
burned,341.39578,367,7.780847
burned,95.469124,1038,9.639385
burned,345.73795,1233,28.123695
burned,339.10477,988,6.9156938
burned,33.92179,797,2.234323
burned,112.69618,937,26.722942
burned,126.67309,717,3.1028428
burned,121.61402,1073,17.161337
burned,77.14426,749,30.20111
burned,353.80695,774,22.14976
burned,233.84167,561,3.1407878
burned,148.179,680,9.729358
burned,42.847805,1049,38.47969
burned,335.68655,872,6.083591
burned,25.244656,1222,22.373615
burned,22.630896,1138,24.512611
burned,52.060646,1138,26.57654
burned,306.42,569,1.5618347
burned,161.2819,915,41.629803
burned,175.02759,1197,13.697844
burned,256.17792,1113,28.460306
burned,125.69517,884,1.5891969
burned,213.91844,751,2.2342353
burned,323.14267,1072,20.009848
burned,305.59326,700,1.5931412
burned,90,1492,36.13243
burned,341.5741,1640,25.536154
burned,55.79309,1127,19.06176
burned,208.4603,787,5.260117
burned,242.86983,724,13.954735
burned,355.91608,855,17.137178
burned,41.017185,1077,7.3352094
burned,223.61452,1132,27.214697
burned,345.06427,1413,26.684729
burned,75.984985,987,14.96913
burned,249.92561,576,2.700165
burned,338.88962,545,31.271606
burned,300.45593,352,44.712902
burned,298.6079,1380,28.410292
burned,155.77217,585,6.079524
burned,306.1092,495,6.2701173
burned,270,1180,4.9845357
burned,172.32358,997,33.15924
burned,184.1462,1301,30.297272
burned,0,938,0
burned,127.457825,1228,14.904772
burned,157.91664,792,9.90921
burned,141.62065,1259,19.343489
burned,241.16606,846,47.046074
burned,0,1118,0
burned,180,818,1.8543341
burned,343.47318,571,42.358856
burned,55.047207,1322,26.958067
burned,308.05255,1016,24.058956
burned,37.21248,416,18.015543
burned,70.11111,699,5.4362936
burned,237.44139,1248,16.741146
burned,240.34929,1645,36.965046
burned,99.6755,1231,40.920437
burned,306.10373,454,6.27093
burned,0,688,0.92740995
burned,52.954254,918,34.93871
burned,126.958176,945,7.6671596
burned,317.8528,988,7.4632607
burned,290.3682,1011,2.6628892
burned,114.04193,785,6.797671
burned,308.44205,950,22.616194
burned,103.33678,697,32.275803
burned,344.41052,503,18.57856
burned,247.42212,914,11.904318
burned,262.18518,978,19.654581
burned,309.21463,939,28.26655
burned,126.66163,701,1.5529765
burned,77.302216,848,16.413895
burned,315.6829,631,12.7484865
burned,206.37642,1093,32.309635
burned,332.19852,669,18.23205
burned,82.97612,1516,27.90203
burned,343.82285,1368,42.30778
burned,22.88644,1162,30.854692
burned,124.31317,491,33.443653
burned,21.425373,826,28.327955
burned,51.313545,1567,33.9543
burned,59.65128,980,7.302853
burned,299.59177,1420,35.798386
burned,297.11926,1449,35.38362
burned,20.837925,942,6.9130826
burned,160.0639,1519,28.856081
burned,285.23447,740,13.842908
burned,157.65222,987,24.468397
burned,270,560,1.256897
burned,344.90942,207,4.7918835
burned,347.34238,719,5.6848316
burned,313.48035,719,11.954465
burned,211.84673,921,24.577253
burned,78.992905,1031,22.972958
burned,10.775068,616,19.926731
burned,283.25748,746,26.294733
burned,94.98589,1041,36.687286
burned,216.62454,556,21.969265
burned,159.16695,1027,19.9875
burned,243.84727,1091,8.357317
burned,270,1122,14.518976
burned,286.42975,1050,34.481163
burned,17.225885,1540,36.083183
burned,125.82234,937,1.5843089
burned,341.8639,1270,26.28876
burned,53.36896,794,1.554091
burned,229.71184,561,11.324902
burned,203.46072,790,23.80534
burned,305.62427,960,37.888912
burned,196.37703,272,21.20942
burned,165.97635,745,32.37601
burned,11.867463,938,27.893272
burned,275.6662,782,18.154871
burned,198.66795,623,34.351376
burned,306.48892,239,6.214238
burned,37.15137,987,33.020374
burned,85.95575,666,24.657621
burned,145.95422,1016,26.928263
burned,220.20625,768,9.623896
burned,69.606895,784,2.6597788
burned,156.95436,1004,18.481813
burned,144.74368,805,24.510616
burned,111.76598,620,31.431667
burned,152.8533,415,27.814371
burned,299.41806,806,23.192276
burned,332.4047,890,22.787752
burned,300.40387,956,12.620424
burned,44.394527,1065,33.304516
burned,319.3225,955,37.539276
burned,90,1163,4.8038015
burned,149.13994,838,9.632352
burned,302.9528,1084,29.485373
burned,230.48288,1088,38.260853
burned,133.34055,434,18.27334
burned,45.44293,829,5.27278
burned,81.53581,1075,41.34204
burned,42.02986,717,27.611032
burned,132.83891,999,31.757477
burned,344.03528,800,13.263651
burned,64.35038,1248,30.894058
burned,334.93427,1141,27.395594
burned,47.77648,886,21.077112
burned,254.01736,740,16.380869
burned,307.02087,916,10.658215
burned,150.17586,846,17.599228
burned,356.21048,810,17.976423
burned,190.553,1068,35.300407
burned,18.10348,939,26.284521
burned,0,713,0
burned,69.58032,720,2.6564698
burned,0,656,0
burned,309.2754,442,28.235527
burned,132.6486,697,12.136095
burned,63.476448,952,12.270549
burned,18.62318,257,18.862432
burned,151.38538,617,37.757095
burned,33.73788,731,28.592648
burned,10.311433,1106,36.516533
burned,52.384106,1100,1.5192118
burned,53.970196,1513,25.072536
burned,110.30771,717,7.9655056
burned,67.5467,1008,32.44663
burned,141.93146,1178,5.8699017
burned,58.25916,805,30.31238
burned,198.46397,708,3.9052472
burned,296.33783,717,4.1736646
burned,42.11323,1039,14.673993
burned,136.98563,667,16.0563
burned,145.68153,889,13.235256
burned,72.817795,962,9.335477
burned,287.67172,1109,9.089036
burned,71.834816,989,22.557692
burned,307.45557,1081,21.76551
burned,256.3373,509,3.9204957
burned,0,666,11.883978
burned,278.1967,931,34.264572
burned,300.21533,1197,34.038784
burned,187.02768,786,10.171414
burned,34.72148,983,4.5044165
burned,307.03043,1031,3.0771809
burned,149.72597,1410,35.46121
burned,8.376088,900,30.499912
burned,0,758,0
burned,314.13937,1020,10.534269
burned,137.93161,845,3.7428842
burned,16.534403,928,42.359978
burned,321.5555,1247,21.439985
burned,20.294584,954,43.50877
burned,53.823013,522,13.864327
burned,134.71022,944,10.4300785
burned,262.95386,592,7.5175033
burned,272.61972,1016,19.502424
burned,112.25993,1050,14.380839
burned,159.37686,807,17.292973
burned,1.7652732,1485,35.473675
burned,116.01176,707,4.2220945
burned,311.3006,776,17.684645
burned,232.39111,1071,1.5194526
burned,127.469185,1082,33.633816
burned,319.36975,346,25.138577
burned,171.74643,1205,8.374629
burned,11.788,867,27.886393
burned,204.49869,511,6.092455
burned,315.2892,523,22.294065
burned,76.18846,1033,22.138887
burned,315.3752,1345,31.554152
burned,111.45771,392,36.953136
burned,323.7736,958,25.715788
burned,178.11255,927,33.586502
burned,69.61343,840,5.309762
burned,110.34323,813,22.737528
burned,90,787,2.4976037
burned,0,963,7.3788605
burned,134.75938,787,5.254078
burned,164.27618,703,21.979492
burned,161.27464,1023,3.9112272
burned,326.08087,795,4.4617324
burned,220.62048,1287,32.611126
burned,37.178436,513,18.007944
burned,142.31651,249,35.5993
burned,308.54303,486,36.994377
burned,29.72284,887,14.625865
burned,282.73865,457,27.198103
burned,259.49622,736,14.916699
burned,350.7463,870,15.579569
burned,222.34995,494,18.18819
burned,280.18295,894,5.231638
burned,42.579033,766,25.810596
burned,283.85736,755,15.128419
burned,151.05768,927,42.18929
burned,292.15244,646,25.278175
burned,290.37555,491,22.706501
burned,41.10061,704,9.751292
burned,264.71652,430,19.371168
burned,39.20876,1010,26.629057
burned,335.5053,620,3.0547655
burned,4.8413267,1535,36.770897
burned,304.328,838,34.564003
burned,274.97217,604,20.482779
burned,330.787,1218,27.443201
burned,321.54065,1217,37.412045
burned,247.61754,296,12
burned,155.52434,647,9.094448
burned,72.9628,1148,6.3055754
burned,45.6293,677,34.778362
burned,66.4634,665,29.575598
burned,133.75946,1156,6.6747274
burned,27.573376,1127,5.2172074
burned,7.290367,617,34.42781
burned,137.90346,716,7.4573636
burned,82.10895,942,49.698425
burned,295.01913,1253,33.05181
burned,90,545,1.2689205
burned,120.57798,933,24.012806
burned,32.919235,1195,23.918896
burned,132.47408,752,6.8350835
burned,228.0501,1018,16.203295
burned,277.07755,610,7.48471
burned,315.6315,767,9.007205
burned,325.83325,958,4.4747267
burned,0,507,0.92740995
burned,73.48617,586,6.497951
burned,27.39036,1234,33.2785
burned,218.05525,522,21.335785
burned,159.36957,835,17.29375
burned,225.4347,1070,28.970993
burned,18.973608,1140,14.4005785
burned,84.55196,1380,34.294
burned,180,1002,9.195146
burned,170.94241,1070,15.571394
burned,214.89674,1040,33.076702
burned,69.69155,548,10.567771
burned,19.875223,1549,35.21198
burned,306.6417,721,19.423183
burned,47.589348,452,26.749838
burned,27.948519,797,40.12927
burned,32.325535,921,13.98423
burned,204.89314,844,3.064531
burned,0,648,3.7047918
burned,313.03986,796,24.258425
burned,180,688,0.92740995
burned,22.903673,324,29.350945
burned,189.62256,972,27.717476
burned,36.760754,830,10.306774
burned,118.981384,1128,31.02151
burned,119.13354,1124,26.507889
burned,51.061485,1218,30.642742
burned,15.165242,729,4.793564
burned,0,269,32.923492
burned,297.11377,1380,41.603714
burned,306.1057,549,4.711197
burned,21.60568,927,6.9487963
burned,161.43901,591,3.9074552
burned,195.1248,491,18.540052
burned,302.73013,728,37.898148
burned,34.049873,633,2.2376893
burned,291.69983,575,12.347577
burned,97.27698,954,7.282854
burned,50.334625,629,11.468794
burned,0,642,7.3788605
burned,184.39084,1320,15.429621
burned,211.85185,838,9.732549
burned,138.12874,782,3.7313519
burned,118.17364,1068,33.08126
burned,80.97804,931,11.665356
burned,12.730164,557,5.6864424
burned,96.95363,633,28.139711
burned,68.29025,1208,33.28209
burned,8.1153965,908,17.258915
burned,100.45473,706,14.982806
burned,249.96028,485,2.7046368
burned,290.5216,1288,38.132107
burned,263.94623,709,8.726481
