system:index,Burned,Fire_ID,LANDSAT_ID,Year,dnbr,nbr_delta,nbr_min,ndvi_max,.geo
0_000000000000000001ae_81,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.028457612,0.07513836,0.34305602,0.63672656,
0_000000000000000001ae_82,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.034445867,0.017676659,0.11810651,0.35636476,
0_000000000000000001ae_83,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.08043051,0.019544572,0.30555555,0.6563501,
0_000000000000000001ae_84,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.06895718,0.06498779,0.21007647,0.54503465,
0_000000000000000001ae_85,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.07508999,0.04831326,0.2889057,0.5048077,
0_000000000000000001ae_86,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.041965365,0.11554974,0.3453761,0.6931385,
0_000000000000000001ae_87,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.081644595,-0.0055776685,0.15173152,0.32420874,
0_000000000000000001ae_88,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.13140559,0.025033057,0.5061025,0.69966197,
0_000000000000000001ae_89,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.026109576,0.020607293,0.52401435,0.76307446,
0_000000000000000001ae_90,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,-0.19282603,-0.13388005,0.049273983,0.44359908,
0_000000000000000001ae_91,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.13533275,0.10236974,0.2417032,0.5628866,
0_000000000000000001ae_92,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,-0.24878538,-0.16402546,0.081318684,0.48586285,
0_000000000000000001ae_93,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.0489268,0.092196554,0.3434996,0.7081571,
0_000000000000000001ae_94,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.13845724,0.14034756,0.24281345,0.60562414,
0_000000000000000001ae_95,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,-0.33000433,-0.21027406,0.18219411,0.5798376,
0_000000000000000001ae_96,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.11600214,0.09041309,0.1710003,0.52611655,
0_000000000000000001ae_97,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.11176053,0.18163456,0.15402405,0.60068357,
0_000000000000000001ae_98,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.06356242,0.012216926,0.48686516,0.7442455,
0_000000000000000001ae_99,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.15573849,0.1521561,0.17092083,0.59322035,
0_000000000000000001ae_100,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.06535888,-0.014856935,0.5067024,0.76233184,
0_000000000000000001ae_101,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.088482976,0.13178921,0.44981414,0.7299693,
0_000000000000000001ae_102,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,-0.22733273,-0.13049316,0.110947475,0.48199084,
0_000000000000000001ae_103,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.07814869,0.16738062,0.18610547,0.6440476,
0_000000000000000001ae_104,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.05993943,0.028120115,0.1971169,0.47973755,
0_000000000000000001ae_105,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.016193807,0.015094787,0.36946028,0.74986255,
0_000000000000000001ae_106,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.047404766,0.071227476,0.11077216,0.44248915,
0_000000000000000001ae_107,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.018500268,0.112196535,0.41893902,0.71986973,
0_000000000000000001ae_108,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.048470765,0.009378344,0.33074462,0.67817855,
0_000000000000000001ae_109,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.016225457,0.04568243,0.40016848,0.8080768,
0_000000000000000001ae_110,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.112790644,0.1125406,0.4499308,0.80143297,
0_000000000000000001ae_111,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.043717265,0.087219656,0.6149578,0.8468948,
0_000000000000000001ae_112,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.044766754,0.14242077,0.29715535,0.6883117,
0_000000000000000001ae_113,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.04737073,0.4577248,0.1908046,0.81345224,
0_000000000000000001ae_114,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.119338274,0.1378268,0.4205411,0.7889472,
0_000000000000000001ae_115,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.0041297674,0.2591964,0.104881264,0.69647694,
